text,category,priority
I just wanted to ask if Multivitamins is vegan.,Miscellaneous,Low
The pricing on the invoice for Yoga Mat does not match our contract.,Trade,High
Where can I find the nearest store that sells Multivitamins?,Miscellaneous,Low
The distributor for Multivitamins has not replied to my emails for a week.,Trade,Medium
"Hello, The distributor for Multivitamins has not replied to my emails for a week. Please fix this.",Trade,Medium
My wholesale order of Face Wash is missing 50 units. I want a refund ASAP!,Trade,High
The label on the Herbal Tea is peeling off and unreadable.,Packaging,Low
My wholesale order of Yoga Mat is missing 50 units.,Trade,High
The label on the Energy Bar is peeling off and unreadable.,Packaging,Low
"Hello, My wholesale order of Herbal Tea is missing 50 units. Please fix this.",Trade,High
The taste of the Multivitamins is awful and seems expired.,Product,High
I just wanted to ask if Protein Powder is vegan.,Miscellaneous,Low
"Hello, The seal on the Energy Bar bottle was broken when I opened the box. Please fix this.",Packaging,High
I just wanted to ask if Multivitamins is vegan.,Miscellaneous,Low
The label on the Energy Bar is peeling off and unreadable.,Packaging,Low
The label on the Multivitamins is peeling off and unreadable.,Packaging,Low
I found a foreign object inside the Energy Bar. This is unacceptable. I want a refund ASAP!,Product,High
The seal on the Face Wash bottle was broken when I opened the box.,Packaging,High
"Hello, I just wanted to ask if Herbal Tea is vegan. Please fix this.",Miscellaneous,Low
The packaging for Multivitamins was completely crushed during delivery. I want a refund ASAP!,Packaging,Medium
The seal on the Shampoo bottle was broken when I opened the box. I want a refund ASAP!,Packaging,High
The Multivitamins I received was completely broken and unusable.,Product,High
Where can I find the nearest store that sells Conditioner?,Miscellaneous,Low
The packaging for Energy Bar was completely crushed during delivery.,Packaging,Medium
The Essential Oil I received was completely broken and unusable.,Product,High
"Hello, The pricing on the invoice for Vitamin C Serum does not match our contract. Please fix this.",Trade,High
"Hello, The taste of the Essential Oil is awful and seems expired. Please fix this.",Product,High
"Hello, The distributor for Yoga Mat has not replied to my emails for a week. Please fix this.",Trade,Medium
Do you offer bulk discounts for Shampoo?,Miscellaneous,Low
My wholesale order of Conditioner is missing 50 units. I want a refund ASAP!,Trade,High
I found a foreign object inside the Protein Powder. This is unacceptable. I want a refund ASAP!,Product,High
Where can I find the nearest store that sells Vitamin C Serum?,Miscellaneous,Low
I just wanted to ask if Yoga Mat is vegan.,Miscellaneous,Low
My wholesale order of Multivitamins is missing 50 units.,Trade,High
Where can I find the nearest store that sells Yoga Mat?,Miscellaneous,Low
The taste of the Face Wash is awful and seems expired.,Product,High
My wholesale order of Shampoo is missing 50 units.,Trade,High
Do you offer bulk discounts for Face Wash? I want a refund ASAP!,Miscellaneous,Low
Do you offer bulk discounts for Protein Powder? I want a refund ASAP!,Miscellaneous,Low
The packaging for Yoga Mat was completely crushed during delivery.,Packaging,Medium
"Hello, The Essential Oil I received was completely broken and unusable. Please fix this.",Product,High
"Hello, The pricing on the invoice for Energy Bar does not match our contract. Please fix this.",Trade,High
"Hello, The distributor for Conditioner has not replied to my emails for a week. Please fix this.",Trade,Medium
Where can I find the nearest store that sells Face Wash?,Miscellaneous,Low
I just wanted to ask if Energy Bar is vegan. I want a refund ASAP!,Miscellaneous,Low
I found a foreign object inside the Shampoo. This is unacceptable. I want a refund ASAP!,Product,High
"Hello, The label on the Shampoo is peeling off and unreadable. Please fix this.",Packaging,Low
The packaging for Yoga Mat was completely crushed during delivery.,Packaging,Medium
"Hello, The label on the Protein Powder is peeling off and unreadable. Please fix this.",Packaging,Low
The packaging for Shampoo was completely crushed during delivery.,Packaging,Medium
My wholesale order of Energy Bar is missing 50 units. I want a refund ASAP!,Trade,High
The label on the Protein Powder is peeling off and unreadable. I want a refund ASAP!,Packaging,Low
The seal on the Face Wash bottle was broken when I opened the box.,Packaging,High
"Hello, My wholesale order of Essential Oil is missing 50 units. Please fix this.",Trade,High
"Hello, The pricing on the invoice for Protein Powder does not match our contract. Please fix this.",Trade,High
"Hello, The packaging for Protein Powder was completely crushed during delivery. Please fix this.",Packaging,Medium
"Hello, My wholesale order of Conditioner is missing 50 units. Please fix this.",Trade,High
The pricing on the invoice for Conditioner does not match our contract.,Trade,High
The seal on the Conditioner bottle was broken when I opened the box.,Packaging,High
My wholesale order of Face Wash is missing 50 units.,Trade,High
"Hello, The seal on the Protein Powder bottle was broken when I opened the box. Please fix this.",Packaging,High
The distributor for Yoga Mat has not replied to my emails for a week.,Trade,Medium
Where can I find the nearest store that sells Yoga Mat? I want a refund ASAP!,Miscellaneous,Low
"Hello, My wholesale order of Protein Powder is missing 50 units. Please fix this.",Trade,High
Where can I find the nearest store that sells Herbal Tea?,Miscellaneous,Low
Do you offer bulk discounts for Essential Oil? I want a refund ASAP!,Miscellaneous,Low
Where can I find the nearest store that sells Conditioner?,Miscellaneous,Low
The label on the Multivitamins is peeling off and unreadable.,Packaging,Low
The pricing on the invoice for Vitamin C Serum does not match our contract.,Trade,High
Do you offer bulk discounts for Herbal Tea?,Miscellaneous,Low
Where can I find the nearest store that sells Essential Oil?,Miscellaneous,Low
Do you offer bulk discounts for Conditioner?,Miscellaneous,Low
"Hello, I just wanted to ask if Protein Powder is vegan. Please fix this.",Miscellaneous,Low
The packaging for Herbal Tea was completely crushed during delivery.,Packaging,Medium
The label on the Multivitamins is peeling off and unreadable.,Packaging,Low
"Hello, The label on the Herbal Tea is peeling off and unreadable. Please fix this.",Packaging,Low
"Hello, The pricing on the invoice for Protein Powder does not match our contract. Please fix this.",Trade,High
Where can I find the nearest store that sells Vitamin C Serum? I want a refund ASAP!,Miscellaneous,Low
I found a foreign object inside the Energy Bar. This is unacceptable. I want a refund ASAP!,Product,High
"Hello, I found a foreign object inside the Essential Oil. This is unacceptable. Please fix this.",Product,High
The packaging for Face Wash was completely crushed during delivery. I want a refund ASAP!,Packaging,Medium
The label on the Energy Bar is peeling off and unreadable. I want a refund ASAP!,Packaging,Low
The taste of the Multivitamins is awful and seems expired.,Product,High
The packaging for Shampoo was completely crushed during delivery.,Packaging,Medium
The seal on the Shampoo bottle was broken when I opened the box. I want a refund ASAP!,Packaging,High
The Conditioner I received was completely broken and unusable.,Product,High
"Hello, Where can I find the nearest store that sells Vitamin C Serum? Please fix this.",Miscellaneous,Low
The label on the Essential Oil is peeling off and unreadable.,Packaging,Low
The distributor for Vitamin C Serum has not replied to my emails for a week.,Trade,Medium
The distributor for Shampoo has not replied to my emails for a week.,Trade,Medium
I found a foreign object inside the Face Wash. This is unacceptable.,Product,High
"Hello, My wholesale order of Face Wash is missing 50 units. Please fix this.",Trade,High
Where can I find the nearest store that sells Face Wash?,Miscellaneous,Low
The taste of the Shampoo is awful and seems expired. I want a refund ASAP!,Product,High
The taste of the Multivitamins is awful and seems expired.,Product,High
My wholesale order of Face Wash is missing 50 units.,Trade,High
I just wanted to ask if Multivitamins is vegan.,Miscellaneous,Low
Do you offer bulk discounts for Protein Powder?,Miscellaneous,Low
The seal on the Energy Bar bottle was broken when I opened the box.,Packaging,High
The packaging for Vitamin C Serum was completely crushed during delivery.,Packaging,Medium
I found a foreign object inside the Multivitamins. This is unacceptable.,Product,High
The seal on the Conditioner bottle was broken when I opened the box.,Packaging,High
"Hello, The label on the Face Wash is peeling off and unreadable. Please fix this.",Packaging,Low
I just wanted to ask if Energy Bar is vegan.,Miscellaneous,Low
The distributor for Energy Bar has not replied to my emails for a week.,Trade,Medium
The label on the Protein Powder is peeling off and unreadable.,Packaging,Low
"Hello, Where can I find the nearest store that sells Essential Oil? Please fix this.",Miscellaneous,Low
The taste of the Energy Bar is awful and seems expired.,Product,High
"Hello, Where can I find the nearest store that sells Energy Bar? Please fix this.",Miscellaneous,Low
"Hello, The pricing on the invoice for Conditioner does not match our contract. Please fix this.",Trade,High
"Hello, The pricing on the invoice for Multivitamins does not match our contract. Please fix this.",Trade,High
"Hello, The packaging for Multivitamins was completely crushed during delivery. Please fix this.",Packaging,Medium
The seal on the Vitamin C Serum bottle was broken when I opened the box. I want a refund ASAP!,Packaging,High
Where can I find the nearest store that sells Herbal Tea? I want a refund ASAP!,Miscellaneous,Low
The pricing on the invoice for Face Wash does not match our contract. I want a refund ASAP!,Trade,High
The taste of the Conditioner is awful and seems expired. I want a refund ASAP!,Product,High
The Yoga Mat I received was completely broken and unusable.,Product,High
"Hello, My wholesale order of Multivitamins is missing 50 units. Please fix this.",Trade,High
"Hello, I just wanted to ask if Energy Bar is vegan. Please fix this.",Miscellaneous,Low
The distributor for Vitamin C Serum has not replied to my emails for a week.,Trade,Medium
"Hello, My wholesale order of Vitamin C Serum is missing 50 units. Please fix this.",Trade,High
"Hello, The distributor for Multivitamins has not replied to my emails for a week. Please fix this.",Trade,Medium
The pricing on the invoice for Herbal Tea does not match our contract.,Trade,High
Do you offer bulk discounts for Energy Bar?,Miscellaneous,Low
The packaging for Yoga Mat was completely crushed during delivery.,Packaging,Medium
The packaging for Herbal Tea was completely crushed during delivery.,Packaging,Medium
Do you offer bulk discounts for Yoga Mat?,Miscellaneous,Low
"Hello, Where can I find the nearest store that sells Protein Powder? Please fix this.",Miscellaneous,Low
Where can I find the nearest store that sells Face Wash?,Miscellaneous,Low
The taste of the Energy Bar is awful and seems expired.,Product,High
"Hello, My wholesale order of Face Wash is missing 50 units. Please fix this.",Trade,High
My wholesale order of Protein Powder is missing 50 units.,Trade,High
My wholesale order of Shampoo is missing 50 units. I want a refund ASAP!,Trade,High
The taste of the Protein Powder is awful and seems expired. I want a refund ASAP!,Product,High
My wholesale order of Energy Bar is missing 50 units.,Trade,High
The pricing on the invoice for Conditioner does not match our contract.,Trade,High
The Vitamin C Serum I received was completely broken and unusable.,Product,High
I just wanted to ask if Protein Powder is vegan.,Miscellaneous,Low
"Hello, I found a foreign object inside the Vitamin C Serum. This is unacceptable. Please fix this.",Product,High
I found a foreign object inside the Herbal Tea. This is unacceptable.,Product,High
"Hello, Do you offer bulk discounts for Vitamin C Serum? Please fix this.",Miscellaneous,Low
"Hello, The seal on the Multivitamins bottle was broken when I opened the box. Please fix this.",Packaging,High
Where can I find the nearest store that sells Vitamin C Serum?,Miscellaneous,Low
Do you offer bulk discounts for Vitamin C Serum?,Miscellaneous,Low
Do you offer bulk discounts for Energy Bar?,Miscellaneous,Low
"Hello, I found a foreign object inside the Yoga Mat. This is unacceptable. Please fix this.",Product,High
My wholesale order of Vitamin C Serum is missing 50 units.,Trade,High
The Shampoo I received was completely broken and unusable.,Product,High
I just wanted to ask if Vitamin C Serum is vegan. I want a refund ASAP!,Miscellaneous,Low
The taste of the Multivitamins is awful and seems expired.,Product,High
The pricing on the invoice for Essential Oil does not match our contract.,Trade,High
Do you offer bulk discounts for Face Wash? I want a refund ASAP!,Miscellaneous,Low
The Multivitamins I received was completely broken and unusable.,Product,High
The pricing on the invoice for Vitamin C Serum does not match our contract. I want a refund ASAP!,Trade,High
The taste of the Herbal Tea is awful and seems expired. I want a refund ASAP!,Product,High
The seal on the Multivitamins bottle was broken when I opened the box.,Packaging,High
The label on the Herbal Tea is peeling off and unreadable.,Packaging,Low
"Hello, The pricing on the invoice for Vitamin C Serum does not match our contract. Please fix this.",Trade,High
Do you offer bulk discounts for Essential Oil? I want a refund ASAP!,Miscellaneous,Low
The Multivitamins I received was completely broken and unusable.,Product,High
The packaging for Protein Powder was completely crushed during delivery.,Packaging,Medium
Where can I find the nearest store that sells Vitamin C Serum? I want a refund ASAP!,Miscellaneous,Low
Do you offer bulk discounts for Herbal Tea?,Miscellaneous,Low
"Hello, The seal on the Energy Bar bottle was broken when I opened the box. Please fix this.",Packaging,High
"Hello, The packaging for Protein Powder was completely crushed during delivery. Please fix this.",Packaging,Medium
I found a foreign object inside the Yoga Mat. This is unacceptable.,Product,High
The pricing on the invoice for Yoga Mat does not match our contract. I want a refund ASAP!,Trade,High
My wholesale order of Vitamin C Serum is missing 50 units.,Trade,High
"Hello, I just wanted to ask if Shampoo is vegan. Please fix this.",Miscellaneous,Low
Do you offer bulk discounts for Herbal Tea?,Miscellaneous,Low
"Hello, The pricing on the invoice for Face Wash does not match our contract. Please fix this.",Trade,High
"Hello, The label on the Multivitamins is peeling off and unreadable. Please fix this.",Packaging,Low
The taste of the Vitamin C Serum is awful and seems expired.,Product,High
Do you offer bulk discounts for Vitamin C Serum?,Miscellaneous,Low
"Hello, My wholesale order of Multivitamins is missing 50 units. Please fix this.",Trade,High
The Protein Powder I received was completely broken and unusable.,Product,High
The taste of the Shampoo is awful and seems expired. I want a refund ASAP!,Product,High
The taste of the Yoga Mat is awful and seems expired.,Product,High
I found a foreign object inside the Vitamin C Serum. This is unacceptable.,Product,High
Do you offer bulk discounts for Face Wash?,Miscellaneous,Low
The taste of the Shampoo is awful and seems expired.,Product,High
"Hello, The distributor for Essential Oil has not replied to my emails for a week. Please fix this.",Trade,Medium
"Hello, The label on the Shampoo is peeling off and unreadable. Please fix this.",Packaging,Low
The distributor for Herbal Tea has not replied to my emails for a week. I want a refund ASAP!,Trade,Medium
I just wanted to ask if Energy Bar is vegan.,Miscellaneous,Low
I just wanted to ask if Vitamin C Serum is vegan. I want a refund ASAP!,Miscellaneous,Low
The pricing on the invoice for Protein Powder does not match our contract.,Trade,High
Do you offer bulk discounts for Herbal Tea?,Miscellaneous,Low
"Hello, I just wanted to ask if Herbal Tea is vegan. Please fix this.",Miscellaneous,Low
Where can I find the nearest store that sells Conditioner?,Miscellaneous,Low
"Hello, Where can I find the nearest store that sells Shampoo? Please fix this.",Miscellaneous,Low
The distributor for Multivitamins has not replied to my emails for a week.,Trade,Medium
The label on the Conditioner is peeling off and unreadable.,Packaging,Low
Do you offer bulk discounts for Essential Oil?,Miscellaneous,Low
Do you offer bulk discounts for Protein Powder?,Miscellaneous,Low
The taste of the Herbal Tea is awful and seems expired.,Product,High
I just wanted to ask if Protein Powder is vegan.,Miscellaneous,Low
"Hello, Do you offer bulk discounts for Herbal Tea? Please fix this.",Miscellaneous,Low
"Hello, I just wanted to ask if Protein Powder is vegan. Please fix this.",Miscellaneous,Low
"Hello, The packaging for Herbal Tea was completely crushed during delivery. Please fix this.",Packaging,Medium
"Hello, The packaging for Herbal Tea was completely crushed during delivery. Please fix this.",Packaging,Medium
"Hello, The taste of the Herbal Tea is awful and seems expired. Please fix this.",Product,High
The seal on the Vitamin C Serum bottle was broken when I opened the box.,Packaging,High
Do you offer bulk discounts for Yoga Mat?,Miscellaneous,Low
The packaging for Protein Powder was completely crushed during delivery.,Packaging,Medium
"Hello, Where can I find the nearest store that sells Conditioner? Please fix this.",Miscellaneous,Low
"Hello, I just wanted to ask if Protein Powder is vegan. Please fix this.",Miscellaneous,Low
I found a foreign object inside the Herbal Tea. This is unacceptable.,Product,High
Where can I find the nearest store that sells Shampoo? I want a refund ASAP!,Miscellaneous,Low
Do you offer bulk discounts for Shampoo?,Miscellaneous,Low
The packaging for Yoga Mat was completely crushed during delivery.,Packaging,Medium
"Hello, I just wanted to ask if Yoga Mat is vegan. Please fix this.",Miscellaneous,Low
The taste of the Protein Powder is awful and seems expired.,Product,High
My wholesale order of Face Wash is missing 50 units.,Trade,High
I found a foreign object inside the Essential Oil. This is unacceptable.,Product,High
I found a foreign object inside the Energy Bar. This is unacceptable.,Product,High
The label on the Herbal Tea is peeling off and unreadable.,Packaging,Low
"Hello, Where can I find the nearest store that sells Energy Bar? Please fix this.",Miscellaneous,Low
The label on the Essential Oil is peeling off and unreadable.,Packaging,Low
I found a foreign object inside the Conditioner. This is unacceptable.,Product,High
The label on the Vitamin C Serum is peeling off and unreadable.,Packaging,Low
The packaging for Herbal Tea was completely crushed during delivery. I want a refund ASAP!,Packaging,Medium
The Vitamin C Serum I received was completely broken and unusable. I want a refund ASAP!,Product,High
The label on the Yoga Mat is peeling off and unreadable.,Packaging,Low
"Hello, Do you offer bulk discounts for Herbal Tea? Please fix this.",Miscellaneous,Low
Where can I find the nearest store that sells Yoga Mat?,Miscellaneous,Low
"Hello, I found a foreign object inside the Protein Powder. This is unacceptable. Please fix this.",Product,High
I found a foreign object inside the Face Wash. This is unacceptable. I want a refund ASAP!,Product,High
The seal on the Herbal Tea bottle was broken when I opened the box.,Packaging,High
Where can I find the nearest store that sells Energy Bar?,Miscellaneous,Low
Where can I find the nearest store that sells Multivitamins?,Miscellaneous,Low
The seal on the Energy Bar bottle was broken when I opened the box.,Packaging,High
The taste of the Protein Powder is awful and seems expired.,Product,High
"Hello, I found a foreign object inside the Conditioner. This is unacceptable. Please fix this.",Product,High
I just wanted to ask if Multivitamins is vegan.,Miscellaneous,Low
"Hello, The pricing on the invoice for Shampoo does not match our contract. Please fix this.",Trade,High
The seal on the Conditioner bottle was broken when I opened the box.,Packaging,High
"Hello, The seal on the Face Wash bottle was broken when I opened the box. Please fix this.",Packaging,High
The packaging for Energy Bar was completely crushed during delivery. I want a refund ASAP!,Packaging,Medium
The seal on the Conditioner bottle was broken when I opened the box.,Packaging,High
I just wanted to ask if Multivitamins is vegan.,Miscellaneous,Low
Do you offer bulk discounts for Essential Oil?,Miscellaneous,Low
"Hello, My wholesale order of Herbal Tea is missing 50 units. Please fix this.",Trade,High
My wholesale order of Essential Oil is missing 50 units.,Trade,High
The pricing on the invoice for Energy Bar does not match our contract.,Trade,High
"Hello, Where can I find the nearest store that sells Energy Bar? Please fix this.",Miscellaneous,Low
The packaging for Multivitamins was completely crushed during delivery.,Packaging,Medium
"Hello, The label on the Herbal Tea is peeling off and unreadable. Please fix this.",Packaging,Low
Where can I find the nearest store that sells Essential Oil? I want a refund ASAP!,Miscellaneous,Low
The label on the Conditioner is peeling off and unreadable.,Packaging,Low
"Hello, My wholesale order of Yoga Mat is missing 50 units. Please fix this.",Trade,High
The packaging for Face Wash was completely crushed during delivery.,Packaging,Medium
"Hello, The distributor for Conditioner has not replied to my emails for a week. Please fix this.",Trade,Medium
"Hello, I just wanted to ask if Energy Bar is vegan. Please fix this.",Miscellaneous,Low
The packaging for Yoga Mat was completely crushed during delivery.,Packaging,Medium
"Hello, The distributor for Shampoo has not replied to my emails for a week. Please fix this.",Trade,Medium
"Hello, The seal on the Multivitamins bottle was broken when I opened the box. Please fix this.",Packaging,High
"Hello, My wholesale order of Vitamin C Serum is missing 50 units. Please fix this.",Trade,High
The packaging for Conditioner was completely crushed during delivery.,Packaging,Medium
The taste of the Energy Bar is awful and seems expired.,Product,High
"Hello, Do you offer bulk discounts for Vitamin C Serum? Please fix this.",Miscellaneous,Low
Where can I find the nearest store that sells Yoga Mat?,Miscellaneous,Low
The seal on the Yoga Mat bottle was broken when I opened the box.,Packaging,High
The seal on the Conditioner bottle was broken when I opened the box.,Packaging,High
The distributor for Multivitamins has not replied to my emails for a week.,Trade,Medium
The Herbal Tea I received was completely broken and unusable.,Product,High
The distributor for Multivitamins has not replied to my emails for a week.,Trade,Medium
The seal on the Protein Powder bottle was broken when I opened the box.,Packaging,High
"Hello, My wholesale order of Protein Powder is missing 50 units. Please fix this.",Trade,High
Where can I find the nearest store that sells Protein Powder?,Miscellaneous,Low
"Hello, The taste of the Vitamin C Serum is awful and seems expired. Please fix this.",Product,High
The label on the Conditioner is peeling off and unreadable.,Packaging,Low
Do you offer bulk discounts for Conditioner? I want a refund ASAP!,Miscellaneous,Low
I found a foreign object inside the Vitamin C Serum. This is unacceptable. I want a refund ASAP!,Product,High
The taste of the Multivitamins is awful and seems expired.,Product,High
"Hello, The Essential Oil I received was completely broken and unusable. Please fix this.",Product,High
I just wanted to ask if Shampoo is vegan. I want a refund ASAP!,Miscellaneous,Low
I just wanted to ask if Vitamin C Serum is vegan.,Miscellaneous,Low
"Hello, Do you offer bulk discounts for Multivitamins? Please fix this.",Miscellaneous,Low
The distributor for Yoga Mat has not replied to my emails for a week.,Trade,Medium
The pricing on the invoice for Conditioner does not match our contract.,Trade,High
The Multivitamins I received was completely broken and unusable.,Product,High
"Hello, Where can I find the nearest store that sells Energy Bar? Please fix this.",Miscellaneous,Low
The pricing on the invoice for Face Wash does not match our contract.,Trade,High
"Hello, I just wanted to ask if Multivitamins is vegan. Please fix this.",Miscellaneous,Low
Where can I find the nearest store that sells Conditioner? I want a refund ASAP!,Miscellaneous,Low
"Hello, My wholesale order of Protein Powder is missing 50 units. Please fix this.",Trade,High
"Hello, Do you offer bulk discounts for Conditioner? Please fix this.",Miscellaneous,Low
The label on the Conditioner is peeling off and unreadable. I want a refund ASAP!,Packaging,Low
I just wanted to ask if Herbal Tea is vegan.,Miscellaneous,Low
Where can I find the nearest store that sells Protein Powder?,Miscellaneous,Low
The label on the Energy Bar is peeling off and unreadable.,Packaging,Low
"Hello, I just wanted to ask if Shampoo is vegan. Please fix this.",Miscellaneous,Low
The label on the Face Wash is peeling off and unreadable.,Packaging,Low
"Hello, My wholesale order of Herbal Tea is missing 50 units. Please fix this.",Trade,High
I found a foreign object inside the Face Wash. This is unacceptable.,Product,High
"Hello, The pricing on the invoice for Face Wash does not match our contract. Please fix this.",Trade,High
I just wanted to ask if Herbal Tea is vegan.,Miscellaneous,Low
I found a foreign object inside the Essential Oil. This is unacceptable. I want a refund ASAP!,Product,High
Where can I find the nearest store that sells Face Wash?,Miscellaneous,Low
The packaging for Protein Powder was completely crushed during delivery. I want a refund ASAP!,Packaging,Medium
I just wanted to ask if Vitamin C Serum is vegan. I want a refund ASAP!,Miscellaneous,Low
"Hello, I just wanted to ask if Multivitamins is vegan. Please fix this.",Miscellaneous,Low
The distributor for Essential Oil has not replied to my emails for a week.,Trade,Medium
"Hello, The Essential Oil I received was completely broken and unusable. Please fix this.",Product,High
I just wanted to ask if Herbal Tea is vegan.,Miscellaneous,Low
"Hello, The pricing on the invoice for Vitamin C Serum does not match our contract. Please fix this.",Trade,High
I found a foreign object inside the Multivitamins. This is unacceptable.,Product,High
The seal on the Essential Oil bottle was broken when I opened the box.,Packaging,High
"Hello, The label on the Multivitamins is peeling off and unreadable. Please fix this.",Packaging,Low
The Shampoo I received was completely broken and unusable. I want a refund ASAP!,Product,High
The Face Wash I received was completely broken and unusable.,Product,High
I found a foreign object inside the Protein Powder. This is unacceptable.,Product,High
"Hello, The Protein Powder I received was completely broken and unusable. Please fix this.",Product,High
My wholesale order of Yoga Mat is missing 50 units.,Trade,High
"Hello, I just wanted to ask if Yoga Mat is vegan. Please fix this.",Miscellaneous,Low
"Hello, Where can I find the nearest store that sells Essential Oil? Please fix this.",Miscellaneous,Low
The taste of the Herbal Tea is awful and seems expired.,Product,High
"Hello, The distributor for Shampoo has not replied to my emails for a week. Please fix this.",Trade,Medium
The seal on the Face Wash bottle was broken when I opened the box. I want a refund ASAP!,Packaging,High
"Hello, My wholesale order of Vitamin C Serum is missing 50 units. Please fix this.",Trade,High
The packaging for Conditioner was completely crushed during delivery.,Packaging,Medium
Where can I find the nearest store that sells Herbal Tea?,Miscellaneous,Low
The packaging for Face Wash was completely crushed during delivery.,Packaging,Medium
The seal on the Conditioner bottle was broken when I opened the box.,Packaging,High
Where can I find the nearest store that sells Multivitamins?,Miscellaneous,Low
Where can I find the nearest store that sells Multivitamins? I want a refund ASAP!,Miscellaneous,Low
Do you offer bulk discounts for Vitamin C Serum?,Miscellaneous,Low
Where can I find the nearest store that sells Herbal Tea? I want a refund ASAP!,Miscellaneous,Low
The label on the Yoga Mat is peeling off and unreadable. I want a refund ASAP!,Packaging,Low
"Hello, The taste of the Essential Oil is awful and seems expired. Please fix this.",Product,High
I just wanted to ask if Energy Bar is vegan.,Miscellaneous,Low
The packaging for Essential Oil was completely crushed during delivery.,Packaging,Medium
The pricing on the invoice for Essential Oil does not match our contract.,Trade,High
The label on the Protein Powder is peeling off and unreadable. I want a refund ASAP!,Packaging,Low
"Hello, The packaging for Conditioner was completely crushed during delivery. Please fix this.",Packaging,Medium
The packaging for Shampoo was completely crushed during delivery. I want a refund ASAP!,Packaging,Medium
I found a foreign object inside the Shampoo. This is unacceptable.,Product,High
"Hello, The distributor for Energy Bar has not replied to my emails for a week. Please fix this.",Trade,Medium
"Hello, Do you offer bulk discounts for Essential Oil? Please fix this.",Miscellaneous,Low
The taste of the Conditioner is awful and seems expired.,Product,High
My wholesale order of Multivitamins is missing 50 units.,Trade,High
Do you offer bulk discounts for Multivitamins?,Miscellaneous,Low
"Hello, I found a foreign object inside the Essential Oil. This is unacceptable. Please fix this.",Product,High
Where can I find the nearest store that sells Multivitamins?,Miscellaneous,Low
My wholesale order of Multivitamins is missing 50 units.,Trade,High
I found a foreign object inside the Shampoo. This is unacceptable.,Product,High
"Hello, My wholesale order of Multivitamins is missing 50 units. Please fix this.",Trade,High
The Shampoo I received was completely broken and unusable.,Product,High
I found a foreign object inside the Yoga Mat. This is unacceptable.,Product,High
The distributor for Face Wash has not replied to my emails for a week.,Trade,Medium
The Essential Oil I received was completely broken and unusable.,Product,High
I just wanted to ask if Face Wash is vegan.,Miscellaneous,Low
"Hello, My wholesale order of Face Wash is missing 50 units. Please fix this.",Trade,High
Do you offer bulk discounts for Protein Powder?,Miscellaneous,Low
"Hello, The taste of the Face Wash is awful and seems expired. Please fix this.",Product,High
"Hello, My wholesale order of Face Wash is missing 50 units. Please fix this.",Trade,High
"Hello, The packaging for Shampoo was completely crushed during delivery. Please fix this.",Packaging,Medium
I found a foreign object inside the Conditioner. This is unacceptable.,Product,High
The label on the Yoga Mat is peeling off and unreadable.,Packaging,Low
I found a foreign object inside the Herbal Tea. This is unacceptable.,Product,High
The taste of the Conditioner is awful and seems expired.,Product,High
I just wanted to ask if Protein Powder is vegan.,Miscellaneous,Low
